5.1.4 Vocabulary: Tengwar Names II
----------------------------------
alda	tree	n.
alya	rich, prosperous	adj.
ando	gate	n.
anca	jaws	n.
anga	iron	n.
anto	mouth	n.
ampa	hook	n.
arda	realm	n.
esse	name	n.
halla	tall	adj.
indyo	grandson	n.
intya	guess, notion	n.
nyelle	bell	n.
tyelpe	silver (archaic)	n.
umbar	fate	n.
umbarti	fates	n.
ungwe	spider’s web	n.
unque	a hollow	n.

5.2.4a Vocabulary: Head and Duals
---------------------------------
anca	jaws	n.
anto	mouth	n.
cas	head; top	n.
cari	heads; tops	n.
fanga	beard	n.
finde	hair	n.
hen	eye	n.
hendu	(pair of) eyes	n.
hlas	ear	n.
hlaru	(pair of) ears	n.
lamba	tongue (physical)	n.
lango	neck, throat	n.
má	hand	n.
mát	(pair of) hands	n.
nelet	tooth	n.
nelci	teeth	n.
nengwe	nose	n.
peu	lips (as a pair)	n.
pé	(closed) mouth	n.
pempe	a lip	n.
súle	breath; (movement of) spirit	n.

5.2.4b Vocabulary: Senses
-------------------------
appa	touches	v.
appane	touched	pa.t.
cene	sees	v.
cenne	saw	pa.t.
hlare	hears	v.
hlasse	heard	pa.t.
hlón	noise	n.
hloni	noises	n.
láma	sound	n.
lasta	listens	v.
lastane	listened	pa.t.
lisse	sweet	adj.
naxa	sour	adj.
nísima	fragrant	adj.
nusta	smells	v.
nusse	smelled	pa.t.
palta	feels, strokes	v.
paltane	felt, stroked	pa.t.
saura	stinking, vile	adj.
sára	bitter	adj.
tana	shows	v.
tanane	showed	pa.t.
tyave	tastes	v.
tyáve	tasted	pa.t.
tyáve	taste	n.
tire	watches	v.
tirne	watched	pa.t.

5.3.2 Vocabulary: Plants
------------------------
ala	grows (plants); thrives	v.
alane	grew, thrived	pa.t.
alda	tree	n.
erde	seed	n.
lasse	leaf	n.
losta	blooms	v.
lostane	bloomed	pa.t.
lóte	flower	n.
olva	plant	n.
orne	(tall) tree	n.
rere	sows	v.
rende	sowed	pa.t.
resta	field	n.
salque	grass	n.
sape	digs	v.
sampe	dug	pa.t.
tarwa	garden	n.
tuia	sprouts	v.
tuiane	sprouted	pa.t.

5.4.2a Vocabulary: Motion, Basic Verbs
--------------------------------------
cape	jumps	v.
campe	jumped	pa.t.
acápie	has jumped	perf.
hate	throws	v.
hante	threw	pa.t.
ahátie	has thrown	perf.
lahe	kicks	v.
lacce	kicked	pa.t.
aláhie	has kicked	perf.
leve	moves (intr.)	v.
léve	moved	pa.t.
elévie	has moved	perf.
lute	floats	v.
lunte	floated	pa.t.
ulútie	has floated	perf.
nire	presses, pushes	v.
nirne	pressed, pushed	pa.t.
inírie	has pressed, pushed	perf.
nore	runs	v.
norne	ran	pa.t.
onórie	has run	perf.

5.4.2b Vocabulary: Motion, Other Verbs
--------------------------------------
celu	flows (forth)	v.
celune	flowed (forth)	pa.t.
ecélie	has flowed (forth)	perf.
hilya	follows	v.
hilyane	followed	pa.t.
ihílie	has followed	perf.
hyalta	strikes, make rings	v.
hyaltane	struck, rang	pa.t.
ahyaltie	has struck, has made ring	perf.
lanta	falls	v.
lantane	fell	pa.t.
alantie	has fallen	perf.
orya	rises	v.
oronye	rose	pa.t.
orórie	has risen	perf.
orta	raises, lifts	v.
ortane	raised, lifted	pa.t.
orortie	has raised, has lifted	perf.
pata	walks	v.
patane	walked	pa.t.
apátie	has walked	per.
sirya	flows	v.
sirinye	flowed	pa.t.
isírie	has flowed	perf.
talta	collapses, falls (down)	v.
talante	collapsed, fell (down)	pa.t.
ataltie	has collapsed, has fallen (down)	perf.

5.5.5a Vocabulary: Existence and Nonexistence
---------------------------------------------
apta	refuses	v.
aptane	refused	pa.t.
áva	don’t	interj.
ea	exists	v.
enge	existed	pa.t.
ma	something	pron.
mo	someone	pron.
ná	is	v.
náne	was	pa.t.
naite	true	adj.
naitie	indeed, truly	adv.
nat	thing	n.
ola	becomes, grows	v.
olane	became, grew	pa.t.
ú	not	adv.
ui	no	interj.
ui	is not	v.
úne	was not	pa.t.
vá	[I] won’t	interj.
váquete	forbids	v.
váquente	forbade	pa.t.

5.5.5b Vocabulary: Good and Bad
-------------------------------
alcar	glory	n.
laita	praises	v.
laitane	praised	pa.t.
loima	mistake	n.
mai	well	adv.
maira	admirable, excellent	adj.
mane	good [moral]	adj.
mára	good, useful	adj.
márie	well, happily; goodness, happiness	adv. and n.
raxe	danger	n.
ulca	evil	adj.
urra	bad	adj.
úvanima	ugly	adj.
vanima	beautiful	adj.
verya	dares	v.
verenye	dared	pa.t.
verya	brave, bold	adj.
voronda	faithful, loyal	adj.

5.7.1 Vocabulary: Miscellaneous
-------------------------------
atta	two	n.
canya	commands	v.
canyane	commanded	pa.t.
cende	point	n.
-ince	(diminutive)	suf.
ista	knows	v.
sinte	knew	pa.t.
linda	soft, gentle, light	adj.
minna	into	prep.
mique	kiss	n.
nie	tear	n.
nieninque	snowdrop	n.
nyarro	rat	n.
rá	on behalf of	prep.
sana	that [previously mentioned]	adj.
ta	that	pron.
tanna	thither	adv.
tamma	tool	n.
